year,month,offense,crimes,clearances,rate,month_num
2021,Jan,All Offense Types,733,205,579.8199999999999,1
2021,Feb,All Offense Types,534,185,422.41,2
2021,Mar,All Offense Types,662,248,523.66,3
2021,Apr,All Offense Types,589,185,465.91,4
2021,May,All Offense Types,657,201,519.7,5
2021,Jun,All Offense Types,657,177,519.7,6
2021,Jul,All Offense Types,785,219,620.9599999999999,7
2021,Aug,All Offense Types,810,207,640.73,8
2021,Sep,All Offense Types,806,234,637.57,9
2021,Oct,All Offense Types,864,208,683.4499999999999,10
2021,Nov,All Offense Types,720,186,569.54,11
2021,Dec,All Offense Types,634,165,501.51,12
2022,Jan,All Offense Types,586,170,458.31,1
2022,Feb,All Offense Types,557,189,435.63,2
2022,Mar,All Offense Types,771,260,602.99,3
2022,Apr,All Offense Types,695,207,543.55,4
2022,May,All Offense Types,916,346,716.4,5
2022,Jun,All Offense Types,777,241,607.69,6
2022,Jul,All Offense Types,869,249,679.64,7
2022,Aug,All Offense Types,820,235,641.3199999999999,8
2022,Sep,All Offense Types,868,258,678.8599999999999,9
2022,Oct,All Offense Types,818,245,639.75,10
2022,Nov,All Offense Types,674,189,527.13,11
2022,Dec,All Offense Types,590,146,461.4299999999999,12
2023,Jan,All Offense Types,685,190,528.54,1
2023,Feb,All Offense Types,574,177,442.89,2
2023,Mar,All Offense Types,608,202,469.13,3
2023,Apr,All Offense Types,710,196,547.8299999999999,4
2023,May,All Offense Types,738,229,569.4399999999999,5
2023,Jun,All Offense Types,669,174,516.2,6
2023,Jul,All Offense Types,671,150,517.74,7
2023,Aug,All Offense Types,733,185,565.58,8
2023,Sep,All Offense Types,744,179,574.07,9
2023,Oct,All Offense Types,851,177,656.63,10
2023,Nov,All Offense Types,600,137,462.96,11
2023,Dec,All Offense Types,553,129,426.69,12
2024,Jan,All Offense Types,440,127,339.5,1
2024,Feb,All Offense Types,674,178,520.05,2
2024,Mar,All Offense Types,587,168,452.9299999999999,3
2024,Apr,All Offense Types,662,208,510.79,4
2024,May,All Offense Types,607,192,468.36,5
2024,Jun,All Offense Types,678,182,523.14,6
2024,Jul,All Offense Types,657,193,506.94,7
2024,Aug,All Offense Types,752,191,580.24,8
2024,Sep,All Offense Types,707,221,545.52,9
2024,Oct,All Offense Types,675,219,520.8299999999999,10
2024,Nov,All Offense Types,642,162,495.36,11
2024,Dec,All Offense Types,633,166,488.42,12
2025,Jan,All Offense Types,518,197,399.69,1
2025,Feb,All Offense Types,455,152,351.07,2
2025,Mar,All Offense Types,668,243,515.42,3
2025,Apr,All Offense Types,555,202,428.23,4
2025,May,All Offense Types,681,243,525.4499999999999,5
2025,Jun,All Offense Types,591,190,456.01,6
2025,Jul,All Offense Types,552,139,425.92,7
2025,Aug,All Offense Types,82,20,63.27,8
2025,Sep,All Offense Types,NA,NA,NA,9
2021,Jan,Crimes Against Person,190,78,150.3,1
2021,Feb,Crimes Against Person,175,65,138.43,2
2021,Mar,Crimes Against Person,230,95,181.94,3
2021,Apr,Crimes Against Person,215,76,170.07,4
2021,May,Crimes Against Person,245,84,193.8,5
2021,Jun,Crimes Against Person,217,95,171.65,6
2021,Jul,Crimes Against Person,223,100,176.4,7
2021,Aug,Crimes Against Person,210,77,166.12,8
2021,Sep,Crimes Against Person,259,106,204.88,9
2021,Oct,Crimes Against Person,251,74,198.55,10
2021,Nov,Crimes Against Person,230,84,181.94,11
2021,Dec,Crimes Against Person,177,57,140.01,12
2022,Jan,Crimes Against Person,202,89,157.98000000000002,1
2022,Feb,Crimes Against Person,206,82,161.11,2
2022,Mar,Crimes Against Person,236,107,184.57,3
2022,Apr,Crimes Against Person,205,75,160.33,4
2022,May,Crimes Against Person,333,193,260.44,5
2022,Jun,Crimes Against Person,223,88,174.41,6
2022,Jul,Crimes Against Person,251,91,196.31,7
2022,Aug,Crimes Against Person,222,99,173.62,8
2022,Sep,Crimes Against Person,245,110,191.61,9
2022,Oct,Crimes Against Person,266,107,208.04,10
2022,Nov,Crimes Against Person,223,95,174.41,11
2022,Dec,Crimes Against Person,160,78,125.13,12
2023,Jan,Crimes Against Person,236,97,182.1,1
2023,Feb,Crimes Against Person,189,75,145.83,2
2023,Mar,Crimes Against Person,210,109,162.03,3
2023,Apr,Crimes Against Person,225,90,173.61,4
2023,May,Crimes Against Person,287,143,221.45,5
2023,Jun,Crimes Against Person,182,80,140.43,6
2023,Jul,Crimes Against Person,192,66,148.15,7
2023,Aug,Crimes Against Person,224,89,172.84,8
2023,Sep,Crimes Against Person,236,91,182.1,9
2023,Oct,Crimes Against Person,227,95,175.15,10
2023,Nov,Crimes Against Person,159,63,122.68,11
2023,Dec,Crimes Against Person,166,63,128.08,12
2024,Jan,Crimes Against Person,138,62,106.48,1
2024,Feb,Crimes Against Person,180,93,138.89,2
2024,Mar,Crimes Against Person,187,74,144.29,3
2024,Apr,Crimes Against Person,211,100,162.81,4
2024,May,Crimes Against Person,203,108,156.63,5
2024,Jun,Crimes Against Person,209,77,161.26,6
2024,Jul,Crimes Against Person,212,88,163.58,7
2024,Aug,Crimes Against Person,253,103,195.21,8
2024,Sep,Crimes Against Person,243,121,187.5,9
