player_name,city,team,number,position,height,weight,college,country,draft_year,draft_round,round_num
Lindsay Allen,Chicago,Sky,15,G,68,145,Notre Dame,USA,2017,2,14
Rebecca Allen,Phoenix,Mercury,11,F-G,74,162,Melbourne,Australia,null,null,null
Laeticia Amihere,Atlanta,Dream,7,F,75,185,South Carolina,Canada,2023,1,8
Ariel Atkins,Washington,Mystics,7,G,70,167,Texas-Austin,USA,2018,1,7
Shakira Austin,Washington,Mystics,0,C-F,77,190,Mississippi,USA,2022,1,3
Rachel Banham,Chicago,Sun,24,G,70,181,Minnesota,USA,2016,1,4
Kierstan Bell,Las Vegas,Aces,1,F,73,176,Florida Gulf Coast,USA,2022,1,11
Grace Berger,Indiana,Fever,34,G,72,160,Indiana,USA,2023,1,7
Monique Billings,Golden State,Wings,0,F,76,192,UCLA,USA,2018,2,15
DeWanna Bonner,Connecticut,Sun,24,F-G,76,140,Auburn,USA,2009,1,5
Aliyah Boston,Indiana,Fever,7,F-C,77,220,South Carolina,USA,2023,1,1
Cameron Brink,Los Angeles,Sparks,22,F,76,170,Stanford,USA,2024,1,2
Jaelyn Brown,Dallas,Wings,18,G-F,73,170,California,USA,null,null,null
Kalani Brown,Dallas,Wings,21,C,79,245,Baylor,USA,2019,1,7
Lexie Brown,Los Angeles,Sparks,4,G,69,162,Duke,USA,2018,1,9
Kennedy Burke,New York,Liberty,2,G-F,73,182,UCLA,USA,2019,2,22
Rae Burrell,Los Angeles,Sparks,12,G-F,74,168,Tennessee,USA,2022,1,9
Veronica Burton,Golden State,Sun,0,G,69,155,Northwestern,USA,2022,1,7
Maya Caldwell,Atlanta,Dream,33,G,71,160,Georgia,USA,2021,3,33
Jordin Canada,Atlanta,Dream,3,G,66,135,UCLA,USA,2018,1,5
Kamilla Cardoso,Chicago,Sky,10,C,79,215,South Carolina,Brazil,2024,1,3
Bridget Carleton,Minnesota,Lynx,6,F,73,177,Iowa State,Canada,2019,2,21
DiJonai Carrington,Connecticut,Sun,21,G-F,71,175,Baylor,USA,2021,2,20
Chennedy Carter,Chicago,Sky,7,G,69,143,Texas A\u0026M,USA,2020,1,4
Tina Charles,Atlanta,Dream,31,C,76,192,Connecticut,USA,2010,1,1
Layshia Clarendon,Los Angeles,Sparks,25,G,69,158,California,USA,2013,1,9
